key,code,moment,start,finish,amount,type,email,link,key:project,key:sponsor
sponsorships-01,AAA-111,2000/01/01 00:00,2022/03/13 16:48,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-02,AAA-222,2001/02/02 01:01,2022/03/13 16:48,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-03,AAA-333,2010/06/06 09:10,2022/03/13 16:48,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-04,AAA-444,2020/07/30 00:00,2022/03/13 16:48,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-05,AAA-555,2019/06/29 23:59,2022/03/13 16:48,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-06,AAA-666,2010/06/06 09:10,2000/01/01 00:00,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-07,ABC-777,2010/06/06 09:10,2001/02/02 01:01,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-08,ABC-888,2010/06/06 09:10,2010/06/06 09:10,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-09,ABC-999,2010/06/06 09:10,2199/11/30 22:58,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-10,ABC-100,2010/06/06 09:10,2200/12/31 23:59,2022/05/13 16:48,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-11,ABC-110,2010/06/06 09:10,2010/06/06 09:10,2000/01/01 00:00,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-12,ABC-120,2010/06/06 09:10,2010/06/06 09:10,2001/02/02 01:01,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-13,ABC-130,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-14,ABC-140,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-15,ABC-150,2010/06/06 09:10,2010/06/06 09:10,2199/11/30 22:58,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-16,ABC-160,2010/06/06 09:10,2010/06/06 09:10,2200/12/31 23:59,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-17,ABC-170,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,0.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-18,ABC-180,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,1.00 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
sponsorships-19,ABC-190,2010/06/06 09:10,2010/06/06 09:10,2010/06/06 09:10,500000 EUR,Financial,sponsorship1@acmesf.com,http://HellowWorldsponsorship-01,project-01,sponsor-01
