key,code,start,finish,location,instructor,contactEmail,link,published,key:trainingModule
training-session-01,"TS-ABC-123","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-01
training-session-02,"TS-A-000","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-02
training-session-03,"TS-A-999","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-03
training-session-04,"TS-AB-123","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-04
training-session-05,"TS-AB-000","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-05
training-session-06,"TS-AB-999","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-06
training-session-07,"TS-ABC-000","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",false,training-module-07
training-session-08,"TS-ABC-999","2020/07/08 19:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",false,training-module-08
training-session-09,"TS-AB-001","2000/01/01 00:00","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-10,"TS-AB-002","2000/01/02 00:00","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",false,training-module-09
training-session-11,"TS-AB-003","2200/12/30 23:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-12,"TS-AB-004","2200/12/31 23:59","2020/07/18 17:46","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-13,"TS-AB-005","2020/07/08 19:59","2000/01/01 00:00","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-14,"TS-AB-006","2020/07/08 19:59","2000/01/02 00:00","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-15,"TS-AB-007","2020/07/08 19:59","2200/12/30 23:59","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-16,"TS-AB-008","2020/07/08 19:59","2200/12/31 23:59","Location","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-17,"TS-AB-009","2000/01/01 00:00","2020/07/18 17:46","L","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-18,"TS-AB-010","2000/01/01 00:00","2020/07/18 17:46","Lo","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-19,"TS-AB-011","2000/01/01 00:00","2020/07/18 17:46","Location con 33 caracteres-------","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-20,"TS-AB-012","2000/01/01 00:00","2020/07/18 17:46","L--------------------------------------------------------------------------","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-21,"TS-AB-013","2000/01/01 00:00","2020/07/18 17:46","L-------------------------------------------------------------------------","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-22,"TS-AB-014","2000/01/01 00:00","2020/07/18 17:46","証拠","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
training-session-23,"TS-AB-015","2000/01/01 00:00","2020/07/18 17:46","<h1>HolaMundo<h1>","Instructor","trainingModule@acmesf.com","http://AcmeSF",true,training-module-09
