key,enabled,identity,password,username
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator2,administrator2
user-account-client-00,true,"UserIdentity{name: 'client0', surname: 'client0', email: 'client0@acme.com'}",client0,client0
user-account-client-01,true,"UserIdentity{name: 'client1', surname: 'client1', email: 'client1@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'client2', surname: 'client2', email: 'client2@acme.com'}",client2,client2
user-account-client-03,true,"UserIdentity{name: 'client3', surname: 'client3', email: 'client3@acme.com'}",client3client3,client3
user-account-client-04,true,"UserIdentity{name: 'client4', surname: 'client4', email: 'client4@acme.com'}",client4,client4
user-account-client-05,true,"UserIdentity{name: 'client5', surname: 'client5', email: 'client5@acme.com'}",client5,client5
user-account-client-06,true,"UserIdentity{name: 'client6', surname: 'client6', email: 'client6@acme.com'}",client6,client6
user-account-client-07,true,"UserIdentity{name: 'client7', surname: 'client7', email: 'client7@acme.com'}",client7,client7
user-account-client-08,true,"UserIdentity{name: 'client8', surname: 'client8', email: 'client8@acme.com'}",client8,client8
user-account-client-09,true,"UserIdentity{name: 'client9', surname: 'client9', email: 'client9@acme.com'}",client9,client9
user-account-client-10,true,"UserIdentity{name: 'client10', surname: 'client10', email: 'client10@acme.com'}",client10,client10
user-account-client-11,true,"UserIdentity{name: 'client11', surname: 'client11', email: 'client11@acme.com'}",client11,client11
user-account-client-12,true,"UserIdentity{name: 'client12', surname: 'client12', email: 'client12@acme.com'}",client12,client12
user-account-client-13,true,"UserIdentity{name: 'client13', surname: 'client13', email: 'client13@acme.com'}",client13,client13
user-account-client-14,true,"UserIdentity{name: 'client14', surname: 'client14', email: 'client14@acme.com'}",client14,client14
user-account-client-15,true,"UserIdentity{name: 'client15', surname: 'client15', email: 'client15@acme.com'}",client15,client15
user-account-client-16,true,"UserIdentity{name: 'client16', surname: 'client16', email: 'client16@acme.com'}",client16,client16
user-account-client-17,true,"UserIdentity{name: 'client17', surname: 'client17', email: 'client17@acme.com'}",client17,client17
user-account-client-18,true,"UserIdentity{name: 'client18', surname: 'client18', email: 'client18@acme.com'}",client18,client18
user-account-client-19,true,"UserIdentity{name: 'client19', surname: 'client19', email: 'client19@acme.com'}",client19,client19
user-account-client-20,true,"UserIdentity{name: 'client20', surname: 'client20', email: 'client20@acme.com'}",client20,client20
user-account-client-21,true,"UserIdentity{name: 'client21', surname: 'client21', email: 'client21@acme.com'}",client21,client21
user-account-client-22,true,"UserIdentity{name: 'client22', surname: 'client22', email: 'client22@acme.com'}",client22,client22
user-account-client-23,true,"UserIdentity{name: 'client23', surname: 'client23', email: 'client23@acme.com'}",client23,client23
user-account-client-24,true,"UserIdentity{name: 'client24', surname: 'client24', email: 'client24@acme.com'}",client24,client24
user-account-client-25,true,"UserIdentity{name: 'client25', surname: 'client25', email: 'client25@acme.com'}",client25,client25
user-account-client-26,true,"UserIdentity{name: 'client26', surname: 'client26', email: 'client26@acme.com'}",client26,client26
user-account-client-27,true,"UserIdentity{name: 'client27', surname: 'client27', email: 'client27@acme.com'}",client27,client27
user-account-client-28,true,"UserIdentity{name: 'client28', surname: 'client28', email: 'client28@acme.com'}",client28,client28
user-account-client-29,true,"UserIdentity{name: 'client29', surname: 'client29', email: 'client29@acme.com'}",client29,client29
user-account-client-30,true,"UserIdentity{name: 'client30', surname: 'client30', email: 'client30@acme.com'}",client30,client30
user-account-client-31,true,"UserIdentity{name: 'client31', surname: 'client31', email: 'client31@acme.com'}",client31,client31
user-account-manager-01,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager2,manager2
user-account-manager-03,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager3,manager3
user-account-manager-04,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager4,manager4
user-account-manager-05,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager5,manager5
user-account-manager-06,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager6,manager6
user-account-manager-07,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager7,manager7
user-account-manager-08,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager8,manager8
user-account-manager-09,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager9,manager9
user-account-manager-10,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager10,manager10
user-account-manager-11,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager11,manager11
user-account-manager-12,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager12,manager12
user-account-manager-13,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager13,manager13
user-account-manager-14,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager14,manager14
user-account-manager-15,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager15,manager15
user-account-manager-16,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager16,manager16
user-account-manager-17,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager17,manager17
user-account-manager-18,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager18,manager18
user-account-manager-19,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager19,manager19
user-account-manager-20,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager20,manager20
user-account-manager-21,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager21,manager21
user-account-manager-22,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager22,manager22
user-account-manager-23,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager23,manager23
user-account-manager-24,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager24,manager24
user-account-manager-25,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager25,manager25
user-account-manager-26,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager26,manager26
user-account-manager-27,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager27,manager27
user-account-manager-28,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager28,manager28
user-account-manager-29,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager29,manager29
user-account-manager-30,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager30,manager30
user-account-manager-31,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager31,manager31
user-account-manager-32,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager32,manager32
user-account-auditor-01,true,"UserIdentity{name: 'Rafael', surname: 'Molina', email: 'rafaelMolina@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Rafael', surname: 'García', email: 'rafaelGarcía@acme.com'}",auditor2,auditor2
user-account-sponsor-01,true,"UserIdentity{name: 'Sponsor1', surname: 'AcmeSF', email: 'sponsor1@acmesf.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Sponsor2', surname: 'AcmeSF', email: 'sponsor2@acmesf.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Sponsor3', surname: 'AcmeSF', email: 'sponsor3@acmesf.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Sponsor4', surname: 'AcmeSF', email: 'sponsor4@acmesf.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'Sponsor5', surname: 'AcmeSF', email: 'sponsor5@acmesf.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Sponsor6', surname: 'AcmeSF', email: 'sponsor6@acmesf.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'Sponsor7', surname: 'AcmeSF', email: 'sponsor7@acmesf.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Sponsor8', surname: 'AcmeSF', email: 'sponsor8@acmesf.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'Sponsor9', surname: 'AcmeSF', email: 'sponsor2@acmesf.com'}",sponsor9,sponsor9
user-account-developer-01,true,"UserIdentity{name: 'Developer1', surname: 'AcmeSF', email: 'developer1@acmesf.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Developer2', surname: 'AcmeSF', email: 'developer2@acmesf.com'}",developer2,developer2
user-account-developer-03,true,"UserIdentity{name: 'Developer3', surname: 'AcmeSF', email: 'developer3@acmesf.com'}",developer3,developer3
user-account-developer-04,true,"UserIdentity{name: 'Developer4', surname: 'AcmeSF', email: 'developer4@acmesf.com'}",developer4,developer4
user-account-developer-05,true,"UserIdentity{name: 'Developer5', surname: 'AcmeSF', email: 'developer5@acmesf.com'}",developer5,developer5
user-account-developer-06,true,"UserIdentity{name: 'Developer6', surname: 'AcmeSF', email: 'developer6@acmesf.com'}",developer6,developer6
user-account-developer-07,true,"UserIdentity{name: 'Developer7', surname: 'AcmeSF', email: 'developer7@acmesf.com'}",developer7,developer7
user-account-developer-08,true,"UserIdentity{name: 'Developer8', surname: 'AcmeSF', email: 'developer8@acmesf.com'}",developer8,developer8
user-account-developer-09,true,"UserIdentity{name: 'Developer9', surname: 'AcmeSF', email: 'developer9@acmesf.com'}",developer9,developer9
user-account-developer-10,true,"UserIdentity{name: 'Developer10', surname: 'AcmeSF', email: 'developer10@acmesf.com'}",developer10,developer10
user-account-developer-11,true,"UserIdentity{name: 'Developer11', surname: 'AcmeSF', email: 'developer11@acmesf.com'}",developer11,developer11
user-account-developer-12,true,"UserIdentity{name: 'Developer12', surname: 'AcmeSF', email: 'developer12@acmesf.com'}",developer12,developer12
user-account-developer-13,true,"UserIdentity{name: 'Developer13', surname: 'AcmeSF', email: 'developer13@acmesf.com'}",developer13,developer13
user-account-developer-14,true,"UserIdentity{name: 'Developer14', surname: 'AcmeSF', email: 'developer14@acmesf.com'}",developer14,developer14
user-account-developer-15,true,"UserIdentity{name: 'Developer15', surname: 'AcmeSF', email: 'developer15@acmesf.com'}",developer15,developer15
user-account-developer-16,true,"UserIdentity{name: 'Developer16', surname: 'AcmeSF', email: 'developer16@acmesf.com'}",developer16,developer16
user-account-developer-17,true,"UserIdentity{name: 'Developer17', surname: 'AcmeSF', email: 'developer17@acmesf.com'}",developer17,developer17
user-account-developer-18,true,"UserIdentity{name: 'Developer18', surname: 'AcmeSF', email: 'developer18@acmesf.com'}",developer18,developer18
user-account-developer-19,true,"UserIdentity{name: 'Developer19', surname: 'AcmeSF', email: 'developer19@acmesf.com'}",developer19,developer19
user-account-developer-20,true,"UserIdentity{name: 'Developer20', surname: 'AcmeSF', email: 'developer20@acmesf.com'}",developer20,developer20
user-account-developer-21,true,"UserIdentity{name: 'Developer21', surname: 'AcmeSF', email: 'developer21@acmesf.com'}",developer21,developer21
user-account-developer-22,true,"UserIdentity{name: 'Developer22', surname: 'AcmeSF', email: 'developer22@acmesf.com'}",developer22,developer22
user-account-developer-23,true,"UserIdentity{name: 'Developer23', surname: 'AcmeSF', email: 'developer23@acmesf.com'}",developer23,developer23
user-account-developer-24,true,"UserIdentity{name: 'Developer24', surname: 'AcmeSF', email: 'developer24@acmesf.com'}",developer24,developer24
user-account-developer-25,true,"UserIdentity{name: 'Developer25', surname: 'AcmeSF', email: 'developer25@acmesf.com'}",developer25,developer25
user-account-developer-26,true,"UserIdentity{name: 'Developer26', surname: 'AcmeSF', email: 'developer26@acmesf.com'}",developer26,developer26
user-account-developer-27,true,"UserIdentity{name: 'Developer27', surname: 'AcmeSF', email: 'developer27@acmesf.com'}",developer27,developer27
user-account-developer-28,true,"UserIdentity{name: 'Developer28', surname: 'AcmeSF', email: 'developer28@acmesf.com'}",developer28,developer28
user-account-developer-29,true,"UserIdentity{name: 'Developer29', surname: 'AcmeSF', email: 'developer29@acmesf.com'}",developer29,developer29
user-account-developer-30,true,"UserIdentity{name: 'Developer30', surname: 'AcmeSF', email: 'developer30@acmesf.com'}",developer30,developer30
user-account-developer-31,true,"UserIdentity{name: 'Developer31', surname: 'AcmeSF', email: 'developer31@acmesf.com'}",developer31,developer31
user-account-developer-32,true,"UserIdentity{name: 'Developer32', surname: 'AcmeSF', email: 'developer32@acmesf.com'}",developer32,developer32
user-account-developer-33,true,"UserIdentity{name: 'Developer33', surname: 'AcmeSF', email: 'developer33@acmesf.com'}",developer33,developer33
user-account-developer-34,true,"UserIdentity{name: 'Developer34', surname: 'AcmeSF', email: 'developer34@acmesf.com'}",developer34,developer34
